City,State,No_of_Zip_Codes,Sum_Population,Mean_No_Diploma,Mean_Vacancy,Mean_No_Job,Mean_Poverty,Mean_Med_Inc,Mean_Chg_Job,Mean_Chg_Biz,Mean_DCI_Percentile,Mean_White,Mean_Hispanic,Mean_Black,Mean_Asian,Mean_Mixed_Other,Sum_Area_Land,Sum_Area_Water
Houston,TX,95,3061078,23.84736842,10.28421053,27.26421053,20.87052632,101.8010526,17.16526316,7.013684211,54.08105263,31.11052632,38.18315789,22.88421053,6.216842105,1.605263158,829.811,17.269
Los Angeles,CA,60,2422217,27.98833333,6.855,30.23166667,25.69166667,76.82333333,11.72666667,8.413333333,59.09,24.77,45.79333333,15.80833333,10.56333333,3.065,214.266,1.372
San Antonio,TX,58,1684473,18.01551724,8.64137931,30.05,18.7137931,102.95,16.46551724,11.43793103,50.53965517,37.58103448,50.80517241,7.920689655,1.586206897,2.106896552,884.449,11.698
Chicago,IL,56,2702091,14.44821429,12.0375,28.6,20.72678571,100.275,10.90892857,5.473214286,55.2625,40.90892857,18.14285714,32.19107143,6.505357143,2.251785714,221.51,12.299
Miami,FL,54,1820704,18.76296296,8.55,28.87222222,18.77592593,107.8425926,19.49074074,13.32222222,46.01111111,22.10555556,53.62592593,20.49814815,1.533333333,2.237037037,489.232,37.806
Dallas,TX,48,1329726,23.20416667,9.99375,29.04583333,23.02083333,97.65833333,13.43333333,4.791666667,57.17291667,37.175,33.28125,23.35625,3.220833333,2.966666667,348.372,5.518
Minneapolis,MN,48,1058398,8.779166667,5.077083333,21.06875,14.04791667,107.5666667,12.03125,3.939583333,28.88333333,77.68541667,3.8875,9.372916667,5.064583333,3.989583333,284.797,14.273
Philadelphia,PA,46,1555135,16.3673913,12.37391304,34.48695652,24.07608696,82.62826087,4.482608696,3.545652174,67.55217391,48.82826087,7.084782609,37.80434783,3.873913043,2.408695652,132.47,7.242
Cincinnati,OH,45,795621,11.97333333,12.56666667,28.78888889,22.22666667,98.58222222,4.128888889,-1.351111111,55.49777778,70.72666667,1.182222222,24.66666667,1.515555556,1.908888889,345.265,3.66
Saint Louis,MO,44,926012,11.68636364,14.49545455,29.65681818,19.69545455,105.8,4.352272727,37.35681818,49.74318182,2.588636364,1.447727273,0.236363636,2.754545455,92.97272727,290.734,10.394
Austin,TX,43,1026543,11.28372093,6.327906977,21.53255814,14.81860465,134.6209302,21.03488372,18.71627907,24.1627907,61.00697674,24.50697674,8.360465116,3.879069767,2.246511628,520.396,12.708
New York,NY,43,1607498,11.12790698,8.3,22.65348837,15.69302326,147.7674419,9.502325581,4.934883721,36.39302326,50.62790698,20.40930233,14.88837209,11.39069767,2.68372093,20.952,0.039
Oklahoma City,OK,43,666604,14.4,11.72790698,31.19767442,18.45813953,110.144186,14.48139535,6.590697674,50.26744186,54.19534884,13.92325581,20.2,3.930232558,7.751162791,393.617,10.006
Las Vegas,NV,42,1472452,14.85238095,11.96190476,29.75714286,15.72142857,106.4071429,39.92619048,24.48809524,46.04285714,61.01190476,18.68809524,7.680952381,7.8,4.819047619,2069.889,0.491
Phoenix,AZ,42,1369844,19.53571429,11.22142857,30.75,23.54761905,99.33809524,17.1547619,5.271428571,57.86666667,55.69761905,33.73809524,4.635714286,2.169047619,3.75952381,451.17,1.254
Kansas City,MO,40,552684,13.12,13.2275,28.04,19.9325,103.12,9.795,22.4725,47.6375,10.4425,7.0725,1.895,2.2125,78.3775,328.572,4.232
Pittsburgh,PA,39,688658,6.961538462,10.63846154,26.00512821,15.80512821,98.33846154,2.851282051,2.792307692,45.36153846,79.41538462,1.028205128,15.90769231,1.825641026,1.823076923,206.712,5.625
Denver,CO,38,1028894,12.80789474,5.131578947,22.95789474,15.64210526,94.32368421,15.69473684,11.12105263,32.68421053,61.25263158,24.16052632,8.426315789,2.810526316,3.35,243.13,2.332
Atlanta,GA,37,944195,11.15675676,15.52972973,27.82972973,21.04864865,112.6756757,11.79189189,6.783783784,49.00540541,42.96216216,8.47027027,42.2972973,3.827027027,2.443243243,351.646,3.9
Brooklyn,NY,37,2595259,20.58378378,7.440540541,29.09189189,22.84054054,86.84054054,12.87297297,14.14864865,54.72972973,35.12162162,20.85675676,33.1,6.962162162,3.959459459,67.302,1.373
Indianapolis,IN,36,933771,13.73611111,11.93888889,27.08055556,19.16111111,98.11388889,11.55555556,1.541666667,52.81666667,70.60555556,3.152777778,22.40833333,1.427777778,2.405555556,413.808,7.489
Portland,OR,33,882233,8.16969697,4.906060606,26.96363636,17.84848485,113.3393939,10.71212121,8.666666667,31.07272727,77.19393939,7.048484848,5.396969697,5.33030303,5.03030303,265.014,30.855
Seattle,WA,33,890468,9.166666667,5.590909091,22.76363636,15.03939394,109.6666667,11.28181818,7.624242424,29.17575758,67.38181818,6,8.351515152,12.17575758,6.090909091,140.914,28.113
Fort Worth,TX,31,859882,21.24516129,8.95483871,28.86451613,20.18064516,95.46774194,16.56774194,9.519354839,51.11612903,42.11290323,34.40322581,18.1516129,3.232258065,2.1,445.39,23.314
Louisville,KY,31,750693,11.30967742,9.574193548,29.10322581,18.22258065,111.5612903,6.122580645,0.625806452,46.28709677,74.66129032,1.612903226,20.23870968,1.25483871,2.232258065,352.816,14.888
San Diego,CA,31,1301331,10.41935484,5.058064516,26.66129032,13.93870968,124.8387097,10.25483871,8.780645161,29.89354839,56.13225806,19.70322581,6.406451613,13.06451613,4.693548387,296.522,7.935
Tucson,AZ,31,893377,12.10967742,8.587096774,32.65483871,17.8,102.5451613,5.374193548,7.251612903,52.01290323,62.57096774,28.54193548,2.903225806,1.883870968,4.1,1521.77,0.823
Columbus,OH,30,809714,12.27333333,13.66666667,28.08,24.67666667,89.11,5.596666667,2.32,58.39333333,67.25333333,2.256666667,24.18666667,3.096666667,3.206666667,232.499,5.068
Jacksonville,FL,30,835053,12.39666667,13.55333333,35.78666667,19.12,100.0366667,14.77333333,10.14333333,53.47333333,63.46333333,4.02,27.92666667,2.16,2.43,793.624,87.24
Omaha,NE,30,534303,10.51,7.11,22.24666667,14.70333333,111.0966667,9.74,8.373333333,36.35,3.663333333,5.826666667,0.32,1.56,88.63,226.7,4.707
Orlando,FL,30,932094,11.34666667,9.473333333,24.56,17.70333333,108.54,16.98666667,14.96666667,39.05,59.43666667,19.28333333,14.54666667,3.41,3.323333333,440.765,33.658
